iter	Passed	Remaining
0	0	529
1	0	469
2	1	440
3	1	424
4	2	411
5	2	402
6	2	394
7	3	391
8	3	391
9	4	409
10	4	437
11	5	441
12	5	438
13	6	433
14	6	429
15	6	423
16	7	422
17	7	419
18	8	416
19	8	413
20	8	410
21	9	411
22	9	409
23	10	407
24	10	405
25	10	403
26	11	401
27	11	399
28	11	398
29	12	396
30	12	394
31	13	395
32	13	394
33	13	395
34	14	394
35	14	392
36	15	391
37	15	389
38	15	388
39	16	387
40	17	404
41	17	404
42	18	404
43	18	404
44	19	404
45	19	403
46	19	402
47	20	401
48	20	400
49	20	398
50	21	398
51	21	397
52	22	396
53	22	394
54	22	393
55	23	392
56	23	391
57	24	390
58	24	388
59	24	387
60	25	387
61	25	386
62	25	385
63	26	384
64	26	383
65	27	382
66	27	381
67	27	380
68	28	379
69	28	379
70	29	380
71	29	385
72	30	385
73	30	387
74	31	387
75	31	386
76	32	385
77	32	384
78	32	384
79	33	383
80	33	382
81	34	381
82	34	380
83	34	379
84	35	378
85	35	377
86	35	376
87	36	375
88	36	377
89	37	378
90	37	378
91	38	380
92	39	380
93	39	380
94	39	380
95	40	380
96	41	382
97	41	384
98	42	390
99	43	390
100	43	390
101	44	391
102	45	392
103	45	392
104	46	392
105	46	392
106	46	391
107	47	390
108	47	389
109	48	389
110	48	388
111	48	387
112	49	387
113	49	386
114	50	387
115	50	386
116	51	386
117	51	385
118	51	384
119	52	384
120	52	383
121	53	382
122	53	384
123	54	384
124	54	384
125	55	383
126	55	383
127	56	382
128	56	384
129	57	383
130	57	382
131	58	382
132	58	381
133	58	380
134	59	380
135	59	379
136	60	378
137	60	377
138	60	377
139	61	376
140	61	375
141	62	374
142	62	373
143	62	373
144	63	372
145	63	371
146	63	370
147	64	369
148	64	369
149	65	369
150	65	368
151	65	367
152	66	366
153	66	367
154	67	367
155	67	366
156	68	366
157	68	365
158	69	365
159	69	364
160	69	363
161	70	363
162	70	362
163	70	361
164	71	360
165	71	360
166	72	359
167	72	358
168	72	358
169	73	357
170	73	357
171	74	356
172	74	355
173	74	354
174	75	354
175	75	353
176	75	352
177	76	352
178	76	351
179	77	351
180	77	350
181	77	349
182	78	349
183	78	348
184	79	348
185	79	349
186	80	348
187	80	348
188	81	347
189	81	347
190	81	346
191	82	345
192	82	345
193	82	344
194	83	344
195	83	343
196	84	343
197	84	342
198	84	341
199	85	341
200	85	340
201	86	340
202	86	339
203	86	338
204	87	338
205	87	337
206	88	337
207	88	336
208	88	336
209	89	335
210	89	334
211	89	334
212	90	333
213	90	333
214	91	332
215	91	332
216	92	332
217	92	332
218	92	331
219	93	331
220	93	330
221	94	330
222	94	329
223	95	329
224	95	329
225	96	329
226	96	329
227	97	329
228	97	329
229	98	328
230	98	328
231	99	327
232	99	327
233	99	326
234	100	326
235	100	325
236	101	325
237	101	324
238	101	323
239	102	323
240	102	322
241	102	322
242	103	321
243	103	321
244	104	320
245	104	320
246	105	320
247	105	320
248	105	319
249	106	319
250	106	318
251	107	318
252	107	318
253	108	318
254	108	317
255	109	317
256	109	316
257	109	316
258	110	315
259	110	315
260	111	314
261	111	313
262	111	313
263	112	312
264	112	312
265	113	312
266	113	311
267	113	310
268	114	310
269	114	309
270	114	309
271	115	308
272	115	308
273	116	307
274	116	308
275	117	308
276	118	308
277	118	307
278	119	307
279	119	307
280	119	306
281	120	306
282	120	305
283	121	305
284	121	304
285	121	304
286	122	303
287	122	303
288	123	302
289	123	302
290	123	301
291	124	301
292	124	300
293	125	300
294	125	299
295	125	299
296	126	298
297	126	298
298	126	297
299	127	296
300	127	296
301	127	295
302	128	295
303	128	294
304	129	294
305	129	293
306	129	293
307	130	293
308	130	292
309	131	292
310	131	291
311	132	292
312	133	292
313	133	291
314	133	291
315	134	290
316	134	290
317	135	289
318	135	289
319	135	288
320	136	288
321	136	288
322	137	287
323	137	287
324	137	286
325	138	285
326	138	285
327	139	284
328	139	284
329	139	283
330	140	283
331	140	282
332	140	282
333	141	281
334	141	281
335	142	280
336	142	280
337	143	280
338	143	280
339	144	280
340	145	280
341	145	280
342	146	279
343	146	279
344	146	278
345	147	278
346	147	277
347	147	277
348	148	276
349	148	276
350	149	275
351	149	275
352	149	274
353	150	274
354	150	273
355	150	273
356	151	272
357	151	272
358	152	271
359	152	271
360	152	270
361	153	270
362	153	269
363	154	269
364	154	268
365	154	268
366	155	267
367	155	267
368	156	267
369	157	268
370	158	268
371	158	267
372	158	267
373	159	266
374	159	266
375	160	265
376	160	265
377	160	264
378	161	264
379	161	263
380	161	263
381	162	262
382	162	262
383	163	261
384	163	261
385	163	260
386	164	260
387	164	259
388	165	259
389	165	259
390	165	258
391	166	257
392	166	257
393	167	256
394	167	256
395	167	256
396	168	255
397	168	255
398	169	254
399	169	254
400	170	254
401	170	253
402	171	253
403	171	253
404	172	252
405	172	252
406	173	252
407	173	251
408	173	251
409	174	250
410	174	250
411	175	249
412	175	249
413	175	248
414	176	248
415	176	247
416	177	247
417	177	247
418	177	246
419	178	246
420	178	245
421	178	245
422	179	244
423	179	244
424	180	243
425	180	243
426	180	242
427	181	242
428	181	241
429	182	241
430	182	241
431	183	240
432	183	240
433	184	240
434	184	239
435	185	239
436	185	238
437	185	238
438	186	237
439	186	237
440	186	236
441	187	236
442	187	235
443	188	235
444	188	235
445	188	234
446	189	234
447	189	233
448	190	233
449	190	232
450	190	232
451	191	231
452	191	231
453	192	231
454	192	230
455	192	230
456	193	229
457	193	229
458	193	228
459	194	228
460	194	227
461	195	227
462	195	226
463	196	226
464	196	226
465	197	225
466	197	225
467	197	225
468	198	224
469	198	224
470	199	223
471	199	223
472	199	222
473	200	222
474	200	221
475	201	221
476	201	220
477	201	220
478	202	219
479	202	219
480	202	218
481	203	218
482	203	217
483	204	217
484	204	217
485	204	216
486	205	216
487	205	215
488	205	215
489	206	214
490	206	214
491	206	213
492	207	213
493	208	213
494	208	212
495	209	212
496	209	212
497	210	211
498	210	211
499	210	210
500	211	210
501	211	210
502	212	209
503	212	209
504	212	208
505	213	208
506	213	207
507	214	207
508	214	206
509	214	206
510	215	205
511	215	205
512	216	205
513	216	204
514	216	204
515	217	203
516	217	203
517	218	202
518	218	202
519	218	201
520	219	201
521	219	201
522	219	200
523	220	200
524	221	200
525	221	199
526	222	199
527	222	199
528	223	198
529	223	198
530	223	197
531	224	197
532	224	196
533	225	196
534	225	195
535	225	195
536	226	195
537	226	194
538	227	194
539	227	193
540	227	193
541	228	192
542	228	192
543	229	192
544	229	191
545	229	191
546	230	190
547	230	190
548	230	189
549	231	189
550	231	188
551	232	188
552	232	187
553	232	187
554	233	187
555	233	186
556	234	186
557	234	185
558	235	185
559	235	185
560	236	184
561	236	184
562	236	183
563	237	183
564	237	182
565	238	182
566	238	182
567	238	181
568	239	181
569	239	180
570	239	180
571	240	179
572	240	179
573	241	178
574	241	178
575	241	178
576	242	177
577	242	177
578	243	176
579	243	176
580	243	175
581	244	175
582	244	175
583	245	174
584	245	174
585	245	173
586	246	173
587	246	172
588	247	172
589	247	172
590	248	171
591	248	171
592	248	170
593	249	170
594	249	169
595	250	169
596	250	169
597	250	168
598	251	168
599	251	167
600	252	167
601	252	166
602	252	166
603	253	166
604	253	165
605	254	165
606	254	164
607	254	164
608	255	163
609	255	163
610	255	162
611	256	162
612	256	162
613	257	161
614	257	161
615	257	160
616	258	160
617	258	160
618	259	159
619	260	159
620	260	158
621	260	158
622	261	158
623	261	157
624	262	157
625	262	156
626	263	156
627	263	156
628	263	155
629	264	155
630	264	154
631	265	154
632	265	153
633	265	153
634	266	152
635	266	152
636	266	152
637	267	151
638	267	151
639	268	150
640	268	150
641	268	149
642	269	149
643	269	149
644	269	148
645	270	148
646	270	147
647	271	147
648	271	146
649	272	146
650	272	146
651	273	145
652	273	145
653	273	144
654	274	144
655	274	143
656	274	143
657	275	143
658	275	142
659	276	142
660	276	141
661	276	141
662	277	140
663	277	140
664	277	139
665	278	139
666	278	139
667	278	138
668	279	138
669	279	137
670	280	137
671	280	136
672	281	136
673	281	136
674	281	135
675	282	135
676	282	134
677	283	134
678	283	134
679	283	133
680	284	133
681	284	132
682	285	132
683	285	132
684	286	131
685	286	131
686	287	130
687	287	130
688	287	129
689	288	129
690	288	129
691	289	128
692	289	128
693	290	128
694	290	127
695	291	127
696	291	126
697	292	126
698	292	126
699	293	125
700	293	125
701	293	124
702	294	124
703	294	123
704	295	123
705	295	123
706	295	122
707	296	122
708	296	121
709	297	121
710	297	120
711	298	120
712	298	120
713	298	119
714	299	119
715	299	118
716	300	118
717	300	118
718	300	117
719	301	117
720	301	116
721	301	116
722	302	115
723	302	115
724	303	114
725	303	114
726	303	114
727	304	113
728	304	113
729	305	112
730	305	112
731	305	111
732	306	111
733	306	111
734	307	110
735	307	110
736	307	109
737	308	109
738	308	108
739	309	108
740	309	108
741	310	107
742	310	107
743	311	107
744	311	106
745	311	106
746	312	105
747	312	105
748	313	104
749	313	104
