iter	RMSE
0	14.92719983
1	14.83848636
2	14.74583417
3	14.65962622
4	14.58136203
5	14.50537475
6	14.41514871
7	14.3426168
8	14.26619748
9	14.18914463
10	14.1033938
11	14.01561482
12	13.9307172
13	13.85289969
14	13.78376227
15	13.70679758
16	13.63375928
17	13.55847517
18	13.48425538
19	13.40915994
20	13.32954271
21	13.24863145
22	13.17402336
23	13.10520823
24	13.03716666
25	12.96844329
26	12.8939966
27	12.82216054
28	12.75092918
29	12.69057259
30	12.62781557
31	12.55580371
32	12.48338502
33	12.42374028
34	12.35224852
35	12.29318326
36	12.22485902
37	12.16513233
38	12.09904326
39	12.03873237
40	11.98339032
41	11.92823786
42	11.86326818
43	11.79875175
44	11.74557425
45	11.69049282
46	11.63716804
47	11.58624206
48	11.5323675
49	11.47474309
50	11.42325676
51	11.37262968
52	11.32186254
53	11.26503764
54	11.2151012
55	11.15478281
56	11.10615691
57	11.05167972
58	10.99495725
59	10.94287956
60	10.88781215
61	10.84502379
62	10.80280843
63	10.75048955
64	10.69975523
65	10.65251803
66	10.60369707
67	10.55736069
68	10.51165474
69	10.46591525
70	10.41838468
71	10.37234325
72	10.32323394
73	10.27732255
74	10.24152086
75	10.19441803
76	10.15424943
77	10.11669222
78	10.07264128
79	10.02904459
80	9.98627331
81	9.943332005
82	9.897554327
83	9.854644814
84	9.815769491
85	9.779836324
86	9.743441004
87	9.710524155
88	9.669191712
89	9.626958829
90	9.586665042
91	9.550498943
92	9.512283005
93	9.474508161
94	9.437175234
95	9.399661903
96	9.366176872
97	9.334366998
98	9.300096582
99	9.263222371
100	9.23128764
101	9.198466802
102	9.160460336
103	9.125568806
104	9.094555789
105	9.064987851
106	9.029004651
107	8.997864678
108	8.964904021
109	8.932323237
110	8.900598312
111	8.866621494
112	8.832145118
113	8.802648659
114	8.771068297
115	8.746326868
116	8.718778652
117	8.688917612
118	8.660513227
119	8.634090455
120	8.608624989
121	8.578387783
122	8.549103615
123	8.523218568
124	8.494260751
125	8.464176199
126	8.435451544
127	8.412460354
128	8.387069067
129	8.358197425
130	8.328920892
131	8.299894684
132	8.274246406
133	8.246047115
134	8.222094271
135	8.201268748
136	8.176829045
137	8.154011061
138	8.127862756
139	8.101458594
140	8.075775888
141	8.054870837
142	8.032763396
143	8.012838964
144	7.991609711
145	7.966386589
146	7.942197995
147	7.92114823
148	7.897354582
149	7.875084541
150	7.853289232
151	7.834384193
152	7.814281402
153	7.79557484
154	7.775468171
155	7.753308279
156	7.731949034
157	7.713835592
158	7.696448382
159	7.678978037
160	7.660839616
161	7.641105806
162	7.62125541
163	7.600120197
164	7.582759165
165	7.563533892
166	7.548410603
167	7.533171574
168	7.512951353
169	7.494218346
170	7.479059337
171	7.461308909
172	7.442941102
173	7.427535152
174	7.409583833
175	7.396572409
176	7.377346677
177	7.359801537
178	7.341201312
179	7.323800196
180	7.309239346
181	7.295042599
182	7.276785602
183	7.26048141
184	7.244251378
185	7.227959771
186	7.214382559
187	7.198970374
188	7.184151313
189	7.167325765
190	7.151391797
191	7.135737237
