iter	Passed	Remaining
0	0	633
1	1	518
2	1	480
3	1	455
4	2	442
5	2	433
6	3	426
7	3	420
8	3	415
9	4	413
10	4	408
11	4	404
12	5	407
13	5	406
14	6	409
15	6	408
16	7	431
17	7	428
18	8	424
19	8	420
20	9	432
21	10	473
22	11	471
23	11	467
24	11	464
25	12	461
26	12	457
27	13	454
28	13	451
29	13	447
30	14	444
31	14	442
32	15	439
33	15	437
34	15	435
35	16	432
36	16	430
37	16	429
38	17	430
39	17	428
40	18	427
41	18	426
42	19	424
43	19	422
44	19	421
45	20	422
46	20	422
47	21	421
48	21	421
49	22	419
50	22	418
51	22	416
52	23	415
53	23	414
54	24	414
55	24	414
56	25	413
57	25	412
58	25	410
59	26	409
60	26	407
61	26	406
62	27	404
63	27	403
64	27	401
65	28	400
66	28	398
67	28	397
68	29	396
69	29	394
70	30	394
71	30	397
72	31	396
73	31	395
74	31	394
75	32	392
76	32	391
77	33	390
78	33	388
79	33	387
80	34	386
81	34	384
82	34	383
83	35	382
84	35	381
85	35	380
86	36	379
87	36	378
88	36	377
89	37	375
90	37	374
91	38	377
92	38	378
93	39	377
94	39	377
95	39	376
96	40	375
97	40	374
98	40	373
99	41	371
100	41	370
101	41	369
102	42	368
103	42	367
104	42	366
105	43	365
106	43	364
107	43	363
108	44	362
109	44	361
110	45	360
111	45	359
112	45	359
113	46	358
114	46	357
115	46	356
116	47	355
117	47	354
118	47	353
119	48	352
120	48	351
121	48	350
122	49	349
123	49	349
124	49	348
125	50	348
126	50	347
127	50	346
128	51	346
129	51	345
130	52	345
131	52	345
132	52	344
133	53	343
134	53	343
135	53	342
136	54	341
137	54	340
138	54	339
139	55	338
140	55	338
141	55	337
142	56	336
143	56	335
144	56	335
145	57	334
146	57	333
147	57	332
148	58	331
149	58	331
150	58	330
151	59	329
152	59	329
153	59	328
154	60	328
155	60	327
156	60	326
157	61	326
158	61	325
159	61	324
160	62	324
161	62	323
162	62	322
163	63	322
164	63	321
165	63	320
166	64	320
167	64	319
168	64	319
169	65	318
170	65	317
171	65	317
172	66	317
173	66	316
174	67	316
175	67	315
176	67	315
177	68	314
178	68	314
179	68	313
180	69	313
181	69	313
182	70	315
183	71	315
184	71	314
185	71	314
186	72	313
187	72	313
188	73	313
189	73	313
190	73	313
191	74	312
192	74	312
193	74	311
194	75	311
195	75	310
196	76	310
197	76	309
198	76	309
199	77	308
200	77	308
201	77	307
202	78	307
203	78	306
204	79	306
205	79	306
206	80	307
207	80	307
208	81	306
209	81	306
210	81	306
211	82	306
212	82	306
213	83	305
214	83	305
215	84	305
216	85	306
217	86	310
218	86	310
219	87	309
220	87	309
221	88	308
222	88	308
223	88	307
224	89	306
225	89	306
226	89	305
227	90	305
228	90	305
229	90	304
230	91	304
231	91	303
232	92	303
233	92	302
234	92	302
235	93	301
236	93	301
237	93	300
238	94	300
239	94	299
240	95	299
241	95	298
242	95	298
243	96	297
244	96	297
245	96	296
246	97	296
247	97	295
248	97	295
249	98	294
250	98	294
251	98	293
252	99	293
253	99	292
254	99	292
255	100	291
256	100	291
257	101	290
258	101	290
259	101	289
260	102	289
261	102	289
262	102	288
263	103	287
264	103	287
265	104	287
266	104	286
267	105	286
268	105	286
269	105	286
270	106	285
271	106	285
272	106	284
273	107	284
274	107	284
275	108	283
276	108	283
277	108	282
278	109	282
279	109	282
280	110	281
281	110	281
282	110	280
283	111	280
284	111	280
285	111	279
286	112	279
287	112	278
288	113	278
289	113	277
290	113	277
291	114	276
292	114	276
293	114	275
294	115	275
295	115	274
296	115	274
297	116	274
298	116	273
299	117	273
300	117	272
301	117	272
302	118	271
303	118	271
304	118	270
305	119	269
306	119	269
307	119	268
308	120	268
309	120	268
310	120	267
311	121	267
312	121	266
313	121	266
314	122	265
315	122	265
316	122	264
317	123	264
318	123	263
319	123	263
320	124	262
321	124	262
322	125	262
323	125	261
324	125	261
325	126	260
326	126	260
327	126	259
328	127	259
329	127	258
330	127	258
331	128	257
332	128	257
333	128	257
334	129	256
335	129	256
336	129	255
337	130	255
338	130	254
339	131	254
340	131	253
341	131	253
342	132	253
343	132	252
344	132	252
345	133	251
346	133	251
347	133	250
348	134	250
349	134	249
350	134	249
351	135	248
352	135	248
353	135	247
354	136	247
355	136	247
356	136	246
357	137	246
358	137	245
359	137	245
360	138	244
361	138	244
362	138	243
363	139	243
364	139	242
365	140	242
366	140	242
367	140	241
368	140	241
369	141	240
370	141	240
371	141	239
372	142	239
373	142	238
374	143	238
375	143	238
376	143	237
377	144	237
378	144	236
379	144	236
380	145	235
381	145	235
382	145	234
383	146	234
384	146	233
385	146	233
386	147	232
387	147	232
388	147	232
389	148	231
390	148	231
391	148	230
392	149	230
393	149	229
394	149	229
395	150	229
396	150	228
397	150	228
398	151	227
399	151	227
400	151	226
401	152	226
402	152	226
403	153	225
404	153	225
405	153	224
406	154	224
407	154	223
408	154	223
409	155	223
410	155	222
411	155	222
412	156	221
413	156	221
414	156	221
415	157	220
416	157	220
417	157	219
418	158	219
419	158	218
420	158	218
421	159	217
422	159	217
423	159	216
424	160	216
425	160	216
426	160	215
427	161	215
428	161	214
429	161	214
430	162	213
431	162	213
432	162	213
433	163	212
434	163	212
435	163	211
436	164	211
437	164	211
438	164	210
439	165	210
440	165	209
441	165	209
442	166	209
443	166	208
444	167	208
445	167	207
446	167	207
447	168	207
448	168	206
449	168	206
450	169	205
451	169	205
452	169	204
453	170	204
454	170	204
455	170	203
456	171	203
457	171	202
458	171	202
459	172	201
460	172	201
461	172	201
462	173	200
463	173	200
464	173	199
465	174	199
466	174	199
467	174	198
468	175	198
469	175	197
470	175	197
471	176	197
472	176	196
473	176	196
474	177	195
475	177	195
476	177	195
477	178	194
478	178	194
479	178	193
480	179	193
481	179	192
482	179	192
483	180	192
484	180	191
485	180	191
486	181	190
487	181	190
488	181	190
489	182	189
490	182	189
491	182	188
492	183	188
493	183	188
494	184	187
495	184	187
496	184	187
497	185	186
498	185	186
499	185	185
500	186	185
501	186	185
502	186	184
503	187	184
504	187	183
505	187	183
506	188	182
507	188	182
508	188	182
509	189	181
510	189	181
511	189	180
512	190	180
513	190	180
514	190	179
515	191	179
516	191	179
517	192	178
518	192	178
519	192	177
520	193	177
521	193	177
522	193	176
523	194	176
524	194	175
525	194	175
526	195	175
527	195	174
528	195	174
529	196	173
530	196	173
531	196	173
532	197	172
533	197	172
534	197	171
535	198	171
536	198	171
537	198	170
538	199	170
539	199	169
540	199	169
